OTU_ID,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU97_1,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus brevipes
OTU97_10,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 2
OTU97_1017,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephorales,Thelephorales,Thelephorales sp. 
OTU97_11,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus luteus
OTU97_18,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 2
OTU97_19,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella cf. lateritia
OTU97_2,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus pungens
OTU97_20,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Laccaria,Laccaria cf. proxima
OTU97_279,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 3
OTU97_28,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus granulatus
OTU97_298,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 3
OTU97_3,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina sp. 1
OTU97_30,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus pseudobrevipes
OTU97_307,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina sp. 2
OTU97_333,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe cf. rufoalba
OTU97_354,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 4
OTU97_360,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 4
OTU97_4,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora cf. terrestris
OTU97_450,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 5
OTU97_5,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 1
OTU97_53,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sphaerosporella,Sphaerosporella sp.
OTU97_574,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 6
OTU97_647,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Sistotrema,Sistotrema sp.
OTU97_665,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina sp. 3
OTU97_676,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 6
OTU97_7,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Tylospora,Tylospora sp. 1
OTU97_70,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon cf. salebrosus
OTU97_700,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,Trichophaea sp. 5
OTU97_702,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina sp. 4
OTU97_8,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon cf. mohelnensis
OTU97_85,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,Pseudotomentella cf. rhizopunctata
